                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3754,                 2.0644,                 1.5355,                 0.3636,                0.30724,                0.27717,                0.10819,                 2.1582,                  2.666,                 2.2839,             0.00036793,             0.00036793,             0.00036793
                      1,                 1.3704,                 1.9479,                 1.5411,                0.38525,                0.41127,                0.34854,                0.13603,                 2.0715,                 2.4806,                 2.1787,             0.00072913,             0.00072913,             0.00072913
                      2,                 1.3605,                 1.9474,                 1.5381,                0.49439,                0.40386,                0.40362,                0.16679,                  1.953,                 2.0486,                 2.0618,              0.0010812,              0.0010812,              0.0010812
                      3,                 1.3383,                 1.9051,                 1.5283,                0.48242,                0.41814,                0.40972,                0.16907,                 2.0475,                 1.9266,                 2.0035,              0.0010698,              0.0010698,              0.0010698
                      4,                 1.2976,                 1.8459,                 1.4942,                0.58076,                0.46727,                0.48342,                0.21035,                 1.8718,                 1.9082,                 1.9292,              0.0010698,              0.0010698,              0.0010698
                      5,                 1.2584,                 1.7801,                 1.4733,                0.56687,                0.50394,                0.53082,                0.22062,                 1.9165,                 1.6433,                 1.9272,               0.001056,               0.001056,               0.001056
                      6,                 1.2348,                 1.7365,                 1.4527,                0.49558,                0.56738,                0.54521,                0.25303,                 1.8231,                 1.6049,                 1.8484,              0.0010423,              0.0010423,              0.0010423
                      7,                 1.2093,                 1.6901,                 1.4421,                 0.5532,                0.55268,                0.54569,                0.23433,                  1.801,                 1.5925,                 1.7974,              0.0010285,              0.0010285,              0.0010285
                      8,                 1.1903,                 1.6484,                 1.4234,                0.59643,                0.54952,                 0.5638,                0.26973,                 1.7606,                 1.5306,                 1.7763,              0.0010148,              0.0010148,              0.0010148
                      9,                 1.1646,                 1.6113,                 1.4012,                0.71013,                0.57502,                0.62281,                0.29521,                 1.7218,                 1.3178,                 1.7521,               0.001001,               0.001001,               0.001001
                     10,                 1.1399,                 1.5877,                 1.3897,                0.68034,                0.59982,                0.63792,                0.30937,                 1.7511,                 1.3392,                 1.7714,             0.00098726,             0.00098726,             0.00098726
                     11,                 1.1397,                 1.5641,                 1.3829,                0.63513,                0.61557,                0.62719,                0.30839,                 1.7017,                 1.3962,                 1.7398,             0.00097351,             0.00097351,             0.00097351
                     12,                 1.1176,                 1.5333,                 1.3679,                0.72064,                0.59331,                0.64579,                0.30437,                 1.7182,                 1.2928,                 1.7421,             0.00095977,             0.00095977,             0.00095977
                     13,                 1.1097,                 1.5102,                 1.3628,                0.70385,                0.63811,                 0.6782,                 0.3326,                 1.7391,                 1.2091,                 1.7528,             0.00094602,             0.00094602,             0.00094602
                     14,                 1.1001,                 1.4968,                 1.3512,                0.72478,                0.62984,                0.68791,                0.34645,                 1.6718,                 1.2164,                 1.7034,             0.00093227,             0.00093227,             0.00093227
                     15,                 1.0882,                 1.4614,                 1.3435,                0.72698,                0.59423,                0.69205,                0.36051,                 1.6781,                 1.2199,                 1.7085,             0.00091852,             0.00091852,             0.00091852
                     16,                 1.0718,                  1.458,                 1.3412,                0.69062,                0.60765,                0.66546,                 0.3503,                 1.6507,                 1.2447,                 1.6821,             0.00090477,             0.00090477,             0.00090477
                     17,                  1.075,                 1.4404,                 1.3385,                0.78131,                0.61154,                0.68085,                0.35458,                 1.6752,                 1.1833,                 1.6989,             0.00089102,             0.00089102,             0.00089102
                     18,                 1.0623,                 1.4114,                 1.3264,                0.62121,                0.67632,                 0.6374,                0.32113,                 1.6792,                 1.1945,                 1.7096,             0.00087727,             0.00087727,             0.00087727
                     19,                 1.0472,                 1.4086,                 1.3138,                  0.719,                0.62852,                0.69675,                0.35735,                 1.6441,                 1.1448,                 1.6757,             0.00086352,             0.00086352,             0.00086352
                     20,                 1.0473,                 1.3941,                 1.3155,                0.69862,                0.67989,                0.69088,                0.36337,                  1.675,                 1.1675,                 1.7249,             0.00084978,             0.00084978,             0.00084978
                     21,                 1.0333,                 1.3591,                 1.3009,                0.76065,                0.64178,                 0.7071,                0.37885,                 1.6327,                 1.1596,                 1.6928,             0.00083603,             0.00083603,             0.00083603
                     22,                 1.0229,                  1.357,                 1.3033,                0.74693,                0.65187,                0.71651,                0.36251,                  1.661,                  1.144,                 1.7325,             0.00082228,             0.00082228,             0.00082228
                     23,                 1.0203,                 1.3362,                 1.2985,                0.75193,                0.67364,                0.73021,                0.38766,                 1.5896,                 1.0955,                  1.646,             0.00080853,             0.00080853,             0.00080853
                     24,                0.99724,                 1.3326,                 1.2803,                0.71119,                0.69802,                0.71834,                0.37569,                 1.6051,                 1.0839,                 1.6592,             0.00079478,             0.00079478,             0.00079478
                     25,                0.98824,                 1.3231,                 1.2837,                0.73074,                0.69585,                0.73956,                 0.3971,                 1.6016,                 1.0832,                 1.6463,             0.00078103,             0.00078103,             0.00078103
                     26,                0.99198,                 1.2946,                  1.279,                0.69313,                0.67099,                0.69741,                0.37348,                 1.6256,                  1.087,                 1.6636,             0.00076728,             0.00076728,             0.00076728
                     27,                0.99177,                 1.2776,                 1.2717,                0.66618,                0.69449,                0.71237,                0.37787,                 1.5966,                 1.0472,                 1.6488,             0.00075354,             0.00075354,             0.00075354
                     28,                0.96745,                 1.2627,                 1.2616,                0.74195,                0.68387,                0.73485,                0.38194,                 1.6459,                 1.0659,                 1.6667,             0.00073979,             0.00073979,             0.00073979
